iter	Passed	Remaining
0	0	56
1	1	53
2	1	51
3	2	49
4	2	48
5	3	48
6	3	49
7	4	49
8	4	48
9	5	48
10	5	47
11	6	47
12	7	47
13	7	47
14	8	46
15	8	45
16	9	45
17	9	44
18	10	44
19	10	43
20	11	42
21	11	41
22	12	41
23	12	40
24	13	39
25	13	39
26	14	38
27	14	37
28	15	36
29	15	36
30	15	35
31	16	34
32	16	34
33	17	33
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	19	29
40	20	29
41	20	28
42	21	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	27	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	30	16
64	30	16
65	31	16
66	31	15
67	31	14
68	32	14
69	32	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	36	10
77	36	10
78	37	9
79	37	9
80	37	8
81	38	8
82	39	8
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	45	0
98	46	0
99	46	0
